Number,Class,Target,Radius_A,Radius_B,Za,Zb,TF,aO3,rc,A_ionic,B_ionic,R_a/R_b,Mass,A_aff,B_aff,A_Tm,B_Tm,A_Tb,B_Tb,A_Hfus,B_Hfus,A_Density,B_Density
67,1,-4.14,100,61.2,1,1.531,0.843467333,147.1428353,60.37461267,6.11316,6.81477,1.633986928,135.814,1.8,8.125,842,1663.55,1484,3264.45,213.1,296.52,1.54,4.434
68,1,-4.07,100,62.6,1,1.513,0.837638833,150.4443361,61.1178734,6.11316,6.78811,1.597444089,135.522,1.8,9.175,842,1650.65,1484,3219.35,213.1,298.36,1.54,4.282
69,1,-3.96,104.68,74.25,1.085,1.355,0.807537397,177.9658345,68.91073358,5.5887,6.669974,1.40983165,224.667,41.24,12.39,903.9,1451.9,3255.8,2661.4,48.62,317.49,5.799,2.865
70,1,-3.91,100,64,1,1.495,0.831890331,153.7458369,61.87639946,6.11316,6.76145,1.5625,135.23,1.8,10.225,842,1637.75,1484,3174.25,213.1,300.2,1.54,4.13
71,1,-3.91,103.2,74.25,1.1,1.355,0.802652832,177.9507627,68.57264632,5.5769,6.669974,1.38989899,229.795,45.3,12.39,918,1451.9,3464,2661.4,44.6,317.49,6.15,2.865
72,1,-3.86,96.43,53.5,1.1445,1.61,0.863985821,128.9501472,55.46010082,5.714034,5.98577,1.802429907,208.832,40.22,42.6,1039.2,660.32,1747.5,2519,80.67,399.9,6.623,2.7
73,1,-3.85,98.47,117.6,1.126,1.785,0.654595319,280.1266772,100.0031593,5.583816,6.081647,0.837329932,249.2375,42.48,25.6,1003.1,60.77865,2915,2148.3,65.86,93.445,6.463,5.7015
74,1,-3.85,104.68,116,1.085,1.807,0.675839403,276.4307171,98.77008341,5.5887,5.978006,0.902413793,255.94,41.24,29,903.9,42.4503,3255.8,2190.8,48.62,74.86,5.799,6.05
75,1,-3.82,100,61.9,1,1.522,0.840542979,148.7935857,60.74431621,6.11316,6.80144,1.615508885,135.668,1.8,8.65,842,1657.1,1484,3241.9,213.1,297.44,1.54,4.358
76,1,-3.77,96.724,53.5,1.1326,1.61,0.865060184,128.9530221,55.55045965,5.7469032,5.98577,1.807925234,201.1096,37.056,42.6,1022.96,660.32,1725.8,2519,91.576,399.9,6.2044,2.7
77,1,-3.64,104.848,110.4,1.07,1.71,0.691428439,263.2254375,94.28086393,5.6546808,6.328688,0.949710145,240.01,37.316,15.4,881.88,153.8136,2866.16,1981.2,52.616,133.78,5.508,5.076
78,1,-3.62,99,117.6,1.13,1.785,0.656050158,280.1334526,100.0015371,5.473,6.081647,0.841836735,256.3495,47,25.6,931,60.77865,3520,2148.3,48.9,93.445,6.77,5.7015
79,1,-3.49,98.3,115.2,1.14,1.76,0.660280352,274.4649836,97.97339434,5.525,6.163994,0.853298611,257.379,47,22.2,1021,91.7903,3074,2092.6,49.5,106.89,7.01,5.493
80,1,-3.47,96.556,53.5,1.1394,1.61,0.864446262,128.9513802,55.49879611,5.7281208,5.98577,1.804785047,205.5224,38.864,42.6,1032.24,660.32,1738.2,2519,85.344,399.9,6.4436,2.7
81,1,-3.35,96.64,53.5,1.136,1.61,0.864753223,128.9522015,55.52461792,5.737512,5.98577,1.80635514,203.316,37.96,42.6,1027.6,660.32,1732,2519,88.46,399.9,6.324,2.7
82,1,-3.27,99,108,1.13,1.685,0.681445648,257.4950631,92.05251591,5.473,6.411035,0.916666667,247.2675,47,12,931,184.82525,3520,1925.5,48.9,147.225,6.77,4.8675
83,1,-3.13,105.104,110.4,1.0796,1.71,0.69215136,263.2284586,94.29688485,5.651716,6.328688,0.952028986,233.2828,35.924,15.4,938.12,153.8136,3038.08,1981.2,59.312,133.78,5.3136,5.076
84,1,-3.11,106.9,115.2,1.0625,1.76,0.684109186,274.5704901,98.21879404,5.6064,6.163994,0.927951389,239.259,35.15,22.2,882.75,91.7903,2943.5,2092.6,54.65,106.89,5.2725,5.493
85,1,-2.99,99,115.2,1.13,1.76,0.662219909,274.4738552,97.97880572,5.473,6.163994,0.859375,254.079,47,22.2,931,91.7903,3520,2092.6,48.9,106.89,6.77,5.493
86,1,-2.97,105.504,110.4,1.1172,1.71,0.693280923,263.2331665,94.32254648,5.873852,6.328688,0.955652174,235.162,28.116,15.4,842.0456,153.8136,2831.84,1981.2,53.488,133.78,5.6512,5.076
87,1,-2.9,99.07,112.8,1.1209,1.735,0.668702604,268.8151338,95.98077628,5.5178112,6.246341,0.878280142,244.7511,43.836,18.8,924.77,122.80195,3377.48,2036.9,60.394,120.335,6.4039,5.2845
88,1,-2.67,100.33,112.8,1.1174,1.735,0.672226949,268.8308143,96.01192535,5.488533,6.246341,0.889450355,248.0789,44.039,18.8,920.22,122.80195,3370.34,2036.9,51.413,120.335,6.4809,5.2845
89,1,-2.56,105.568,110.4,1.0756,1.71,0.693461654,263.2339184,94.32672324,5.605836,6.328688,0.956231884,238.202,37.316,15.4,902.28,153.8136,2914,1981.2,53.656,133.78,5.5576,5.076
90,1,-2.51,105.42,117.6,1.0775,1.785,0.673672928,280.2132003,100.1019085,5.5946,6.081647,0.896428571,246.6575,39.21,25.6,896.85,60.77865,3151.7,2148.3,50.63,93.445,5.6235,5.7015
91,1,-2.42,104.68,117.6,1.085,1.785,0.671641643,280.2042216,100.0794137,5.5887,6.081647,0.890136054,249.2215,41.24,25.6,903.9,60.77865,3255.8,2148.3,48.62,93.445,5.799,5.7015
92,1,-2.39,106.16,117.6,1.07,1.785,0.675704213,280.222125,100.1271404,5.6005,6.081647,0.902721088,244.0935,37.18,25.6,889.8,60.77865,3047.6,2148.3,52.64,93.445,5.448,5.7015
93,1,-2.36,104.68,115.2,1.085,1.76,0.677958022,274.5439648,98.11930606,5.5887,6.163994,0.908680556,246.951,41.24,22.2,903.9,91.7903,3255.8,2092.6,48.62,106.89,5.799,5.493
94,1,-2.26,106.9,112.8,1.0625,1.735,0.690603893,268.9099839,96.30624265,5.6064,6.246341,0.947695035,236.9885,35.15,18.8,882.75,122.80195,2943.5,2036.9,54.65,120.335,5.2725,5.2845
95,1,-2.15,104.68,112.8,1.085,1.735,0.684394332,268.8837081,96.18279909,5.5887,6.246341,0.928014184,244.6805,41.24,18.8,903.9,122.80195,3255.8,2036.9,48.62,120.335,5.799,5.2845
96,1,-2.11,105.42,115.2,1.0775,1.76,0.68000841,274.5528599,98.14978249,5.5946,6.163994,0.915104167,244.387,39.21,22.2,896.85,91.7903,3151.7,2092.6,50.63,106.89,5.6235,5.493
97,1,-2.1,106.16,112.8,1.07,1.735,0.68853404,268.901278,96.26246042,5.6005,6.246341,0.941134752,239.5525,37.18,18.8,889.8,122.80195,3047.6,2036.9,52.64,120.335,5.448,5.2845
98,1,-2.09,105.42,110.4,1.0775,1.71,0.693043715,263.2321792,94.31709412,5.5946,6.328688,0.954891304,239.846,39.21,15.4,896.85,153.8136,3151.7,1981.2,50.63,133.78,5.6235,5.076
99,1,-2.07,104.68,108,1.085,1.685,0.697640674,257.5631947,92.38312538,5.5887,6.411035,0.969259259,240.1395,41.24,12,903.9,184.82525,3255.8,1925.5,48.62,147.225,5.799,4.8675
